编号,类别,检查项,状态,详情,修复建议/核查要求,章节
5.18,网络安全,接入认证采用基于802.1x协议强化,不适用,请核查网络接入认证配置,,第5章 第5.18节
5.19,网络安全,用户与网络之间逻辑隔离,不适用,请核查终端接入隔离策略,,第5章 第5.19节
5.20,网络安全,全网行为采集记录集中安全审计留存>=180天,不适用,请核查全流量安全审计系统,,第5章 第5.20节
5.21,网络安全,对攻击/违规行为实时监测告警阻断,不适用,请核查IDS/IPS/SOC等监测系统,,第5章 第5.21节
5.22,网络安全,数据存储系统接入网络应采取逻辑隔离,不适用,请核查存储网络隔离配置,,第5章 第5.22节
5.23,网络安全,网络设备具备冗余性，关键设备必要冗余,不适用,请核查网络设备冗余清单,,第5章 第5.23节
4.1,应用安全,应用系统具备应用容灾措施,不适用,请结合业务应用判断，数据不属于业务架构,,第4章 第4.1节
4.2,应用安全,应用系统在未及时安装补丁或更新安全软件,不适用,请结合业务应用版本和补丁情况判断,,第4章 第4.2节
4.3,应用安全,对开放端口应用进行身份认证和告警阻断,不适用,请结合硬件和开放端口模块，超出本脚本范围,,第4章 第4.3节
4.4,应用安全,对应用信息采取加密保护等措施,不适用,请结合业务加密架构清单，超出本脚本范围,,第4章 第4.4节
4.5,应用安全,提供承载信息的应用应具备DDoS攻击防护能力,不适用,请核查抗拒绝服务/抗DDoS设备,,第4章 第4.5节
4.7,应用安全,网站应用采取静态页面发布形式,不适用,请结合业务网站页面发布形式判断,,第4章 第4.7节
4.9,应用安全,Web应用具备对SQL注入/XSS等攻击防护能力,不适用,请结合渗透测试或漏洞扫描报告，超出本脚本范围,,第4章 第4.9节
4.10,应用安全,Web应用具备执行代码的有效校验机制,不适用,请结合业务设计，超出本脚本范围,,第4章 第4.10节
4.11,应用安全,具备用户权限到访问控制的控制能力,不适用,请结合业务应用权限模块判断,,第4章 第4.11节
4.13,应用安全,业务管理终端专用专管,不适用,请结合现场核查终端管理，超出本脚本范围,,第4章 第4.13节
4.14,应用安全,基于用户角色和权限的访问控制，细分粒度登录,不适用,请结合业务应用RBAC权限模块判断,,第4章 第4.14节
4.19,应用安全,非使用通用协议或通用接口通信协议/接口,不适用,请核查应用接口技术栈，超出本脚本范围,,第4章 第4.19节
4.20,应用安全,具备对用户使用口令认证或用户生物认证机制,不适用,请结合硬件USB Key/密码卡等，超出本脚本范围,,第4章 第4.20节
4.25,应用安全,应用系统进行代码级安全漏洞挖掘,不适用,请核查SAST/DAST扫描报告，超出本脚本范围,,第4章 第4.25节
4.26,应用安全,具备对账户调用接口/异常通信/文件操作格式等级控制,不适用,请结合业务设计，超出本脚本范围,,第4章 第4.26节
4.27,应用安全,应有效防护并阻断SQL注入/XSS/DoS等应用层攻击,不适用,请结合渗透测试或漏洞扫描报告,,第4章 第4.27节
4.28,应用安全,对用户登录和权限统一管理控制,不适用,请核查IAM平台接入情况，超出本脚本范围,,第4章 第4.28节
4.30,应用安全,应满足请求并分会话数/带宽/单用户连接限制,不适用,请结合业务应用中间件配置判断,,第4章 第4.30节
2.3,用户安全,用户应用接入应用考勤，通过身份认证使用应用信息接入,不适用,请核查业务系统统一身份认证机制,,第2章 第2.3节
2.11_m,用户安全,口令认证采用身份认证或专用的硬件或软件,不适用,请结合硬件USB Key/密码卡/指纹，超出本脚本范围,,第2章 第2.11节
3.2,数据安全,用户对应用数据采取加密文件或统一管控和措施,不适用,请核查数据加密管理系统，超出本脚本范围,,第3章 第3.2节
3.3,数据安全,加密存储介质降密级使用前采取清除写残余数据,不适用,请现场核查介质管理流程，超出本脚本范围,,第3章 第3.3节
3.4,数据安全,确保涉密数据的传输/存储/备份等过程安全传输,不适用,请现场核查介质管理流程，超出本脚本范围,,第3章 第3.4节
3.6,数据安全,网络边界具备信息防泄露/防篡改等数据防泄露,不适用,请核查边界设备DLP配置,,第3章 第3.6节
3.7,数据安全,数据存储系统具备日志记录采取认证保护强化措施+留存180天,不适用,请结合业务存储系统日志配置判断,,第3章 第3.7节
3.9,数据安全,数据备份采用介质/路由独立/统一管控/完整日志记录,不适用,请结合业务数据备份和路由判断,,第3章 第3.9节
3.11,数据安全,数据访问权限分级分权，应为最小化,不适用,请结合业务系统权限分级判断,,第3章 第3.11节
3.12,数据安全,数据采集未超出业务必要范围,不适用,请结合业务数据采集范围判断,,第3章 第3.12节
3.13,数据安全,数据备份介质存在介质加密机应保密的必要,不适用,请结合业务数据备份介质管理判断,,第3章 第3.13节
3.14,数据安全,涉密分类提供统一管控和访问控制，应为最小化,不适用,请核查数据脱敏平台，超出本脚本范围,,第3章 第3.14节
10.1_m,协议安全审计,涉密协议认证/通信口令/密钥分发管理,不适用,请核查密钥签名/证书管控和通信日志留存情况,,第10章 第10.1节
